,mobile_custom_button_click_counts_0_custom_button_type,mobile_custom_button_click_counts_0_clicks,careers_page_clicks_careers_page_promo_links_clicks,careers_page_clicks_careers_page_banner_promo_clicks,careers_page_clicks_careers_page_jobs_clicks,careers_page_clicks_careers_page_employees_clicks,desktop_custom_button_click_counts_0_custom_button_type,desktop_custom_button_click_counts_0_clicks,mobile_careers_page_clicks_careers_page_jobs_clicks,mobile_careers_page_clicks_careers_page_promo_links_clicks,mobile_careers_page_clicks_careers_page_employees_clicks,mobile_products_page_views_page_views,mobile_products_page_views_unique_page_views,all_desktop_page_views_page_views,all_desktop_page_views_unique_page_views,insights_page_views_page_views,insights_page_views_unique_page_views,mobile_about_page_views_page_views,mobile_about_page_views_unique_page_views,all_mobile_page_views_page_views,all_mobile_page_views_unique_page_views,desktop_products_page_views_page_views,desktop_products_page_views_unique_page_views,products_page_views_page_views,products_page_views_unique_page_views,jobs_page_views_page_views,jobs_page_views_unique_page_views,people_page_views_page_views,people_page_views_unique_page_views,overview_page_views_page_views,overview_page_views_unique_page_views,mobile_overview_page_views_page_views,mobile_overview_page_views_unique_page_views,life_at_page_views_page_views,life_at_page_views_unique_page_views,desktop_overview_page_views_page_views,desktop_overview_page_views_unique_page_views,mobile_careers_page_views_page_views,mobile_careers_page_views_unique_page_views,all_page_views_page_views,all_page_views_unique_page_views,mobile_jobs_page_views_page_views,mobile_jobs_page_views_unique_page_views,careers_page_views_page_views,careers_page_views_unique_page_views,mobile_life_at_page_views_page_views,mobile_life_at_page_views_unique_page_views,desktop_jobs_page_views_page_views,desktop_jobs_page_views_unique_page_views,desktop_people_page_views_page_views,desktop_people_page_views_unique_page_views,about_page_views_page_views,about_page_views_unique_page_views,desktop_about_page_views_page_views,desktop_about_page_views_unique_page_views,mobile_people_page_views_page_views,mobile_people_page_views_unique_page_views,desktop_insights_page_views_page_views,desktop_insights_page_views_unique_page_views,desktop_careers_page_views_page_views,desktop_careers_page_views_unique_page_views,desktop_life_at_page_views_page_views,desktop_life_at_page_views_unique_page_views,mobile_insights_page_views_page_views,mobile_insights_page_views_unique_page_views,time_range_start,time_range_end,organization
0,VIEW_WEBSITE,2,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,16,6,0,0,0,0,16,6,0,0,0,0,1,1,11,0,19,12,10,6,0,0,9,6,1,1,32,12,1,1,1,1,0,0,0,0,6,4,1,1,1,1,5,1,0,0,0,0,0,0,0,0,2023-03-28,2023-03-29,urn:li:organization:30216658
1,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,5,3,0,0,0,0,4,1,0,0,0,0,1,1,2,0,5,4,2,1,0,0,3,3,0,0,9,4,0,0,1,1,0,0,1,1,0,0,1,1,1,1,2,1,0,0,1,1,0,0,0,0,2023-03-29,2023-03-30,urn:li:organization:30216658
2,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,1,0,0,0,0,0,15,9,0,0,1,1,7,3,0,0,0,0,2,2,4,0,12,11,4,3,0,0,8,8,1,1,22,12,1,1,2,2,0,0,1,1,3,4,4,3,3,3,1,1,0,0,1,1,0,0,0,0,2023-03-30,2023-03-31,urn:li:organization:30216658
3,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,14,5,0,0,3,2,34,8,0,0,0,0,5,5,7,0,33,13,24,8,0,0,9,5,2,2,48,13,2,2,5,5,0,0,3,3,2,2,3,0,0,0,5,3,0,0,3,3,0,0,0,0,2023-03-31,2023-04-01,urn:li:organization:30216658
4,VIEW_WEBSITE,1,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,2,2,0,0,0,0,3,2,0,0,0,0,1,1,0,0,4,4,2,2,0,0,2,2,1,1,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-01,2023-04-02,urn:li:organization:30216658
5,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0,2,2,0,0,4,2,0,0,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2023-04-02,2023-04-03,urn:li:organization:30216658
6,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2023-04-03,2023-04-04,urn:li:organization:30216658
7,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,6,5,0,0,0,0,6,5,0,0,9,5,0,0,2,2,0,0,2,2,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,2023-04-04,2023-04-05,urn:li:organization:30216658
8,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,1,0,0,0,0,0,11,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,11,7,2,1,0,0,9,6,0,0,13,7,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2023-04-05,2023-04-06,urn:li:organization:30216658
9,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,8,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,6,4,0,0,0,0,6,4,1,1,9,5,1,1,1,1,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2023-04-06,2023-04-07,urn:li:organization:30216658
10,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,1,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,6,0,0,0,0,7,6,0,0,8,6,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2023-04-07,2023-04-08,urn:li:organization:30216658
11,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-08,2023-04-09,urn:li:organization:30216658
12,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-09,2023-04-10,urn:li:organization:30216658
13,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,13,6,0,0,0,0,2,1,0,0,0,0,2,1,0,0,13,6,0,0,0,0,13,6,2,1,15,7,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-10,2023-04-11,urn:li:organization:30216658
14,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,11,8,0,0,0,0,1,1,0,0,0,0,2,2,1,0,8,8,0,0,0,0,8,8,1,1,12,9,1,1,2,2,0,0,1,1,1,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2023-04-11,2023-04-12,urn:li:organization:30216658
15,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,15,11,0,0,0,0,2,2,0,0,0,0,3,3,2,0,11,10,0,0,0,0,11,10,2,2,17,13,2,2,3,3,0,0,1,1,2,4,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2023-04-12,2023-04-13,urn:li:organization:30216658
16,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,6,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,5,4,0,0,0,0,5,4,1,1,7,5,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2023-04-13,2023-04-14,urn:li:organization:30216658
17,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,4,2,0,0,0,0,16,7,0,0,0,0,5,4,4,0,11,8,9,6,0,0,2,2,4,3,20,9,4,3,5,4,0,0,1,1,1,2,0,0,0,0,3,2,0,0,1,1,0,0,0,0,2023-04-14,2023-04-15,urn:li:organization:30216658
18,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,6,4,0,0,0,0,6,3,0,0,0,0,3,2,0,0,9,6,3,2,0,0,6,4,3,2,12,7,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-15,2023-04-16,urn:li:organization:30216658
19,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-16,2023-04-17,urn:li:organization:30216658
20,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,2,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,7,0,0,0,0,9,7,0,0,12,7,0,0,0,0,0,0,0,0,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2023-04-17,2023-04-18,urn:li:organization:30216658
21,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,18,9,0,0,0,0,1,1,0,0,0,0,0,0,6,0,10,10,1,1,0,0,9,9,0,0,19,10,0,0,0,0,0,0,0,0,6,6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2023-04-18,2023-04-19,urn:li:organization:30216658
22,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,7,0,0,0,0,8,7,0,0,10,7,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2023-04-19,2023-04-20,urn:li:organization:30216658
23,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,8,6,0,0,9,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2023-04-20,2023-04-21,urn:li:organization:30216658
24,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,15,9,0,0,3,3,26,10,0,0,0,0,0,0,10,0,28,19,16,10,0,0,12,9,0,0,41,19,0,0,0,0,0,0,0,0,3,2,3,0,0,0,7,3,0,0,0,0,0,0,0,0,2023-04-21,2023-04-22,urn:li:organization:30216658
25,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,9,7,0,0,0,0,3,3,0,0,0,0,3,3,2,0,7,6,0,0,0,0,7,6,3,3,12,10,3,3,3,3,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-22,2023-04-23,urn:li:organization:30216658
26,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-23,2023-04-24,urn:li:organization:30216658
27,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,2,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,2,1,1,0,11,9,0,0,0,0,11,9,0,0,15,9,0,0,2,1,0,0,2,1,1,2,1,1,1,1,0,0,0,0,2,1,0,0,0,0,2023-04-24,2023-04-25,urn:li:organization:30216658
28,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,10,6,0,0,0,0,1,1,0,0,0,0,3,2,1,0,6,6,0,0,0,0,6,6,1,1,11,7,1,1,3,2,0,0,2,1,1,2,1,1,1,1,0,0,0,0,2,1,0,0,0,0,2023-04-25,2023-04-26,urn:li:organization:30216658
29,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,2,2,6,0,12,6,0,0,0,0,12,6,0,0,23,6,0,0,2,2,0,0,2,2,6,2,3,3,3,3,0,0,0,0,2,2,0,0,0,0,2023-04-26,2023-04-27,urn:li:organization:30216658
30,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,9,7,0,0,0,0,1,1,0,0,0,0,2,2,1,0,7,7,0,0,0,0,7,7,1,1,10,8,1,1,2,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2023-04-27,2023-04-28,urn:li:organization:30216658
31,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,4,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-28,2023-04-29,urn:li:organization:30216658
32,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-29,2023-04-30,urn:li:organization:30216658
33,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,3,2,2,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-30,2023-05-01,urn:li:organization:30216658
34,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-05-01,2023-05-02,urn:li:organization:30216658
35,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,1,0,0,0,0,0,29,9,0,0,1,1,8,2,0,0,0,0,5,3,3,0,25,8,7,2,0,0,18,7,0,0,37,10,0,0,5,3,0,0,5,3,3,4,4,3,3,3,0,0,0,0,5,3,0,0,0,0,2023-05-02,2023-05-03,urn:li:organization:30216658
36,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,12,6,0,0,0,0,9,3,0,0,0,0,2,2,5,0,12,8,6,3,0,0,6,5,1,1,21,9,1,1,2,2,0,0,1,1,3,4,2,2,2,2,2,1,0,0,1,1,0,0,0,0,2023-05-03,2023-05-04,urn:li:organization:30216658
37,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,3,3,0,0,0,0,16,8,0,0,0,0,2,2,3,0,14,11,11,8,0,0,3,3,2,2,19,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2023-05-04,2023-05-05,urn:li:organization:30216658
38,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,1,0,0,0,0,0,5,5,0,0,3,3,29,7,0,0,0,0,4,3,7,0,20,12,15,7,0,0,5,5,4,3,34,12,4,3,4,3,0,0,0,0,0,0,3,0,0,0,7,2,0,0,0,0,0,0,0,0,2023-05-05,2023-05-06,urn:li:organization:30216658
39,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,1,1,3,1,0,0,15,6,0,0,0,0,0,0,3,0,10,6,9,5,0,0,1,1,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,1,2023-05-06,2023-05-07,urn:li:organization:30216658
40,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,2,2,0,0,3,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2023-05-07,2023-05-08,urn:li:organization:30216658
